REGION: Northern California and Sierra Counties,,,,,,,,,
REGION: Sacramento Area,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"173,000",100%,"136,000",100%,,"151,000",100%,"115,000",100%
Gender,,,,,,,,,
Male,"90,000",52%,"72,000",53%,,"77,000",51%,"59,000",52%
Female,"83,000",48%,"64,000",47%,,"74,000",49%,"56,000",48%
Race and Ethnicity,,,,,,,,,
Latino,"83,000",48%,"64,000",47%,,"71,000",47%,"52,000",45%
Asian,"18,000",10%,"15,000",11%,,"16,000",11%,"13,000",11%
African American,"9,000",5%,"7,000",5%,,"7,000",5%,"6,000",5%
White,"58,000",33%,"46,000",34%,,"51,000",34%,"41,000",36%
Other,"5,000",3%,"4,000",3%,,"4,000",3%,"3,000",3%
Age,,,,,,,,,
0-18 years,"23,000",13%,"19,000",14%,,"26,000",17%,"22,000",19%
19-29 years,"56,000",32%,"44,000",32%,,"42,000",28%,"30,000",26%
30-44 years,"52,000",30%,"40,000",30%,,"46,000",31%,"36,000",31%
45-64 years,"43,000",25%,"32,000",24%,,"36,000",24%,"27,000",24%
Income,,,,,,,,,
100% FPL or less,"63,000",36%,"44,000",33%,,"60,000",40%,"44,000",38%
101-138% FPL,"19,000",11%,"12,000",9%,,"14,000",10%,"11,000",9%
139-200% FPL,"28,000",16%,"22,000",16%,,"20,000",14%,"13,000",12%
201-250% FPL,"16,000",9%,"13,000",10%,,"13,000",9%,"9,000",8%
251-400% FPL,"24,000",14%,"21,000",15%,,"19,000",13%,"16,000",13%
401 % FPL or more,"24,000",14%,"24,000",18%,,"24,000",16%,"23,000",20%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"89,000",51%,"71,000",52%,,"73,000",48%,"57,000",49%
18+ Limited English Proficiency,"63,000",36%,"47,000",35%,,"53,000",35%,"37,000",32%
Self Reported Health Status,,,,,,,,,
Excellent,"44,000",26%,"36,000",27%,,"40,000",27%,"32,000",27%
Very Good,"55,000",32%,"44,000",33%,,"49,000",32%,"38,000",33%
Good,"53,000",31%,"41,000",30%,,"44,000",29%,"33,000",29%
Fair,"18,000",11%,"13,000",10%,,"16,000",10%,"11,000",10%
Poor,"2,000",1%,"1,000",1%,,"2,000",1%,"2,000",2%
Employment Status,,,,,,,,,
Not Employed,"68,000",39%,"52,000",39%,,"62,000",41%,"47,000",41%
Employed,"105,000",61%,"83,000",61%,,"89,000",59%,"68,000",59%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"137,000",79%,"104,000",77%,,"118,000",78%,"88,000",76%
Legal Permanent Resident <5 yrs,"14,000",8%,"10,000",8%,,"9,000",6%,"5,000",4%
Undocumented Immigrant,"22,000",12%,"21,000",16%,,"24,000",16%,"23,000",20%
,,,,,,,,,
REGION: San Joaquin Valley,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"477,000",100%,"370,000",100%,,"407,000",100%,"306,000",100%
Gender,,,,,,,,,
Male,"275,000",58%,"216,000",58%,,"229,000",56%,"172,000",56%
Female,"203,000",42%,"154,000",42%,,"178,000",44%,"134,000",44%
Race and Ethnicity,,,,,,,,,
Latino,"359,000",75%,"276,000",75%,,"306,000",75%,"227,000",74%
Asian,"21,000",4%,"17,000",5%,,"19,000",5%,"15,000",5%
African American,"8,000",2%,"6,000",2%,,"6,000",2%,"5,000",2%
White,"82,000",17%,"65,000",18%,,"69,000",17%,"54,000",18%
Other,"8,000",2%,"6,000",2%,,"6,000",2%,"5,000",2%
Age,,,,,,,,,
0-18 years,"60,000",13%,"48,000",13%,,"63,000",15%,"50,000",16%
19-29 years,"163,000",34%,"130,000",35%,,"128,000",31%,"93,000",30%
30-44 years,"131,000",28%,"103,000",28%,,"121,000",30%,"95,000",31%
45-64 years,"123,000",26%,"89,000",24%,,"96,000",24%,"68,000",22%
Income,,,,,,,,,
100% FPL or less,"164,000",34%,"119,000",32%,,"158,000",39%,"119,000",39%
101-138% FPL,"57,000",12%,"37,000",10%,,"44,000",11%,"33,000",11%
139-200% FPL,"89,000",19%,"69,000",19%,,"65,000",16%,"42,000",14%
201-250% FPL,"47,000",10%,"38,000",10%,,"38,000",9%,"26,000",9%
251-400% FPL,"75,000",16%,"64,000",17%,,"59,000",15%,"46,000",15%
401 % FPL or more,"45,000",9%,"44,000",12%,,"42,000",10%,"39,000",13%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"176,000",37%,"141,000",38%,,"138,000",34%,"108,000",35%
18+ Limited English Proficiency,"247,000",52%,"185,000",50%,,"210,000",52%,"150,000",49%
Self Reported Health Status,,,,,,,,,
Excellent,"101,000",21%,"83,000",22%,,"88,000",22%,"69,000",23%
Very Good,"122,000",26%,"98,000",26%,,"105,000",26%,"80,000",26%
Good,"175,000",37%,"133,000",36%,,"145,000",36%,"106,000",35%
Fair,"71,000",15%,"51,000",14%,,"62,000",15%,"46,000",15%
Poor,"8,000",2%,"6,000",2%,,"7,000",2%,"5,000",2%
Employment Status,,,,,,,,,
Not Employed,"186,000",39%,"141,000",38%,,"164,000",40%,"122,000",40%
Employed,"291,000",61%,"229,000",62%,,"243,000",60%,"183,000",60%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"338,000",71%,"242,000",65%,,"272,000",67%,"185,000",61%
Legal Permanent Resident <5 yrs,"34,000",7%,"24,000",7%,,"21,000",5%,"11,000",4%
Undocumented Immigrant,"106,000",22%,"103,000",28%,,"114,000",28%,"110,000",36%
,,,,,,,,,
REGION: Central Coast,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"253,000",100%,"208,000",100%,,"223,000",100%,"176,000",100%
Gender,,,,,,,,,
Male,"138,000",55%,"115,000",55%,,"118,000",53%,"94,000",53%
Female,"115,000",45%,"93,000",45%,,"104,000",47%,"82,000",47%
Race and Ethnicity,,,,,,,,,
Latino,"189,000",75%,"154,000",74%,,"166,000",75%,"129,000",73%
Asian,"8,000",3%,"7,000",3%,,"7,000",3%,"6,000",3%
African American,"2,000",1%,"2,000",1%,,"2,000",1%,"1,000",1%
White,"51,000",20%,"43,000",21%,,"45,000",20%,"38,000",21%
Other,"3,000",1%,"3,000",1%,,"3,000",1%,"2,000",1%
Age,,,,,,,,,
0-18 years,"42,000",17%,"35,000",17%,,"41,000",18%,"33,000",19%
19-29 years,"81,000",32%,"67,000",32%,,"64,000",29%,"48,000",27%
30-44 years,"73,000",29%,"61,000",29%,,"69,000",31%,"57,000",32%
45-64 years,"57,000",23%,"45,000",22%,,"49,000",22%,"37,000",21%
Income,,,,,,,,,
100% FPL or less,"69,000",27%,"53,000",25%,,"68,000",31%,"53,000",30%
101-138% FPL,"26,000",10%,"18,000",9%,,"22,000",10%,"17,000",9%
139-200% FPL,"42,000",17%,"34,000",16%,,"32,000",15%,"22,000",13%
201-250% FPL,"27,000",11%,"22,000",11%,,"22,000",10%,"16,000",9%
251-400% FPL,"44,000",18%,"39,000",19%,,"35,000",16%,"29,000",16%
401 % FPL or more,"44,000",17%,"43,000",21%,,"42,000",19%,"39,000",22%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"91,000",36%,"78,000",37%,,"76,000",34%,"64,000",36%
18+ Limited English Proficiency,"124,000",49%,"98,000",47%,,"109,000",49%,"81,000",46%
Self Reported Health Status,,,,,,,,,
Excellent,"66,000",26%,"56,000",27%,,"58,000",26%,"47,000",27%
Very Good,"74,000",29%,"63,000",30%,,"66,000",30%,"53,000",30%
Good,"80,000",32%,"65,000",31%,,"69,000",31%,"53,000",30%
Fair,"29,000",12%,"22,000",11%,,"28,000",12%,"21,000",12%
Poor,"3,000",1%,"2,000",1%,,"3,000",1%,"2,000",1%
Employment Status,,,,,,,,,
Not Employed,"112,000",44%,"90,000",43%,,"99,000",44%,"77,000",44%
Employed,"141,000",56%,"118,000",57%,,"124,000",56%,"99,000",56%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"160,000",63%,"124,000",59%,,"134,000",60%,"98,000",56%
Legal Permanent Resident <5 yrs,"27,000",11%,"20,000",10%,,"18,000",8%,"10,000",6%
Undocumented Immigrant,"66,000",26%,"65,000",31%,,"71,000",32%,"68,000",39%
,,,,,,,,,
REGION: Los Angeles,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"1,473,000",100%,"1,180,000",100%,,"1,283,000",100%,"981,000",100%
Gender,,,,,,,,,
Male,"804,000",55%,"648,000",55%,,"692,000",54%,"527,000",54%
Female,"668,000",45%,"531,000",45%,,"590,000",46%,"454,000",46%
Race and Ethnicity,,,,,,,,,
Latino,"1,121,000",76%,"882,000",75%,,"975,000",76%,"730,000",74%
Asian,"149,000",10%,"130,000",11%,,"135,000",11%,"112,000",11%
African American,"45,000",3%,"36,000",3%,,"37,000",3%,"29,000",3%
White,"142,000",10%,"119,000",10%,,"122,000",10%,"100,000",10%
Other,"16,000",1%,"13,000",1%,,"13,000",1%,"11,000",1%
Age,,,,,,,,,
0-18 years,"186,000",13%,"153,000",13%,,"182,000",14%,"145,000",15%
19-29 years,"375,000",25%,"306,000",26%,,"300,000",23%,"221,000",22%
30-44 years,"547,000",37%,"441,000",37%,,"495,000",39%,"389,000",40%
45-64 years,"365,000",25%,"280,000",24%,,"306,000",24%,"227,000",23%
Income,,,,,,,,,
100% FPL or less,"392,000",27%,"292,000",25%,,"384,000",30%,"293,000",30%
101-138% FPL,"158,000",11%,"105,000",9%,,"127,000",10%,"96,000",10%
139-200% FPL,"259,000",18%,"197,000",17%,,"192,000",15%,"124,000",13%
201-250% FPL,"165,000",11%,"132,000",11%,,"136,000",11%,"95,000",10%
251-400% FPL,"242,000",16%,"206,000",17%,,"198,000",15%,"151,000",15%
401 % FPL or more,"258,000",18%,"247,000",21%,,"245,000",19%,"222,000",23%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"390,000",26%,"329,000",28%,,"317,000",25%,"261,000",27%
18+ Limited English Proficiency,"912,000",62%,"709,000",60%,,"795,000",62%,"584,000",59%
Self Reported Health Status,,,,,,,,,
Excellent,"325,000",22%,"274,000",23%,,"288,000",22%,"229,000",23%
Very Good,"403,000",27%,"330,000",28%,,"356,000",28%,"275,000",28%
Good,"505,000",34%,"399,000",34%,,"430,000",34%,"322,000",33%
Fair,"215,000",15%,"157,000",13%,,"188,000",15%,"138,000",14%
Poor,"26,000",2%,"20,000",2%,,"21,000",2%,"17,000",2%
Employment Status,,,,,,,,,
Not Employed,"581,000",39%,"452,000",38%,,"505,000",39%,"381,000",39%
Employed,"892,000",61%,"727,000",62%,,"778,000",61%,"600,000",61%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"998,000",68%,"742,000",63%,,"820,000",64%,"572,000",58%
Legal Permanent Resident <5 yrs,"115,000",8%,"87,000",7%,,"80,000",6%,"46,000",5%
Undocumented Immigrant,"360,000",24%,"351,000",30%,,"382,000",30%,"364,000",37%
,,,,,,,,,
REGION: Other Southern California,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"1,430,000",100%,"1,154,000",100%,,"1,222,000",100%,"948,000",100%
Gender,,,,,,,,,
Male,"754,000",53%,"614,000",53%,,"633,000",52%,"491,000",52%
Female,"677,000",47%,"539,000",47%,,"589,000",48%,"456,000",48%
Race and Ethnicity,,,,,,,,,
Latino,"975,000",68%,"770,000",67%,,"832,000",68%,"631,000",67%
Asian,"133,000",9%,"115,000",10%,,"119,000",10%,"98,000",10%
African American,"32,000",2%,"25,000",2%,,"25,000",2%,"20,000",2%
White,"271,000",19%,"227,000",20%,,"229,000",19%,"186,000",20%
Other,"20,000",1%,"16,000",1%,,"16,000",1%,"13,000",1%
Age,,,,,,,,,
0-18 years,"200,000",14%,"167,000",14%,,"199,000",16%,"161,000",17%
19-29 years,"383,000",27%,"313,000",27%,,"298,000",24%,"224,000",24%
30-44 years,"468,000",33%,"380,000",33%,,"421,000",34%,"336,000",35%
45-64 years,"380,000",27%,"293,000",25%,,"305,000",25%,"228,000",24%
Income,,,,,,,,,
100% FPL or less,"400,000",28%,"296,000",26%,,"385,000",31%,"294,000",31%
101-138% FPL,"149,000",10%,"98,000",8%,,"114,000",9%,"87,000",9%
139-200% FPL,"248,000",17%,"193,000",17%,,"184,000",15%,"121,000",13%
201-250% FPL,"143,000",10%,"116,000",10%,,"115,000",9%,"80,000",8%
251-400% FPL,"242,000",17%,"210,000",18%,,"194,000",16%,"153,000",16%
401 % FPL or more,"247,000",17%,"240,000",21%,,"229,000",19%,"214,000",23%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"513,000",36%,"429,000",37%,,"406,000",33%,"330,000",35%
18+ Limited English Proficiency,"733,000",51%,"570,000",49%,,"628,000",51%,"465,000",49%
Self Reported Health Status,,,,,,,,,
Excellent,"330,000",23%,"280,000",24%,,"290,000",24%,"234,000",25%
Very Good,"442,000",31%,"364,000",32%,,"381,000",31%,"299,000",32%
Good,"460,000",32%,"364,000",32%,,"386,000",32%,"292,000",31%
Fair,"176,000",12%,"129,000",11%,,"149,000",12%,"110,000",12%
Poor,"23,000",2%,"16,000",1%,,"17,000",1%,"13,000",1%
Employment Status,,,,,,,,,
Not Employed,"605,000",42%,"478,000",41%,,"530,000",43%,"407,000",43%
Employed,"826,000",58%,"676,000",59%,,"692,000",57%,"540,000",57%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"1,044,000",73%,"794,000",69%,,"847,000",69%,"608,000",64%
Legal Permanent Resident <5 yrs,"75,000",5%,"56,000",5%,,"48,000",4%,"27,000",3%
Undocumented Immigrant,"312,000",22%,"305,000",26%,,"328,000",27%,"313,000",33%
,,,,,,,,,
COUNTY: Fresno,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"117,000",100%,"91,000",100%,,"98,000",100%,"73,000",100%
Gender,,,,,,,,,
Male,"73,000",62%,"57,000",63%,,"59,000",61%,"44,000",60%
Female,"44,000",38%,"34,000",37%,,"38,000",39%,"29,000",40%
Race and Ethnicity,,,,,,,,,
Latino,"93,000",80%,"72,000",79%,,"77,000",79%,"57,000",78%
Asian,"6,000",5%,"5,000",5%,,"5,000",5%,"4,000",5%
African American,"2,000",2%,"2,000",2%,,"2,000",2%,"1,000",2%
White,"15,000",12%,"12,000",13%,,"12,000",13%,"10,000",13%
Other,"1,000",1%,"1,000",1%,,"1,000",1%,"1,000",1%
Age,,,,,,,,,
0-18 years,"10,000",9%,"8,000",9%,,"11,000",11%,"9,000",12%
19-29 years,"48,000",42%,"38,000",42%,,"36,000",37%,"26,000",35%
30-44 years,"31,000",26%,"25,000",27%,,"29,000",30%,"23,000",32%
45-64 years,"27,000",23%,"20,000",22%,,"21,000",22%,"15,000",21%
Income,,,,,,,,,
100% FPL or less,"36,000",31%,"27,000",29%,,"35,000",36%,"26,000",36%
101-138% FPL,"15,000",13%,"10,000",11%,,"12,000",12%,"8,000",12%
139-200% FPL,"22,000",19%,"17,000",19%,,"17,000",17%,"11,000",16%
201-250% FPL,"12,000",11%,"10,000",11%,,"10,000",11%,"7,000",10%
251-400% FPL,"18,000",16%,"15,000",17%,,"13,000",13%,"10,000",14%
401 % FPL or more,"12,000",10%,"12,000",13%,,"11,000",12%,"10,000",14%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"35,000",30%,"28,000",31%,,"28,000",28%,"22,000",30%
18+ Limited English Proficiency,"72,000",62%,"55,000",61%,,"60,000",61%,"43,000",59%
Self Reported Health Status,,,,,,,,,
Excellent,"27,000",23%,"22,000",25%,,"22,000",23%,"17,000",24%
Very Good,"30,000",26%,"24,000",26%,,"26,000",26%,"19,000",26%
Good,"39,000",34%,"30,000",33%,,"32,000",33%,"23,000",32%
Fair,"18,000",15%,"13,000",14%,,"15,000",16%,"12,000",16%
Poor,"2,000",2%,"2,000",2%,,"2,000",2%,"1,000",2%
Employment Status,,,,,,,,,
Not Employed,"35,000",30%,"27,000",30%,,"31,000",32%,"23,000",32%
Employed,"81,000",70%,"64,000",70%,,"67,000",68%,"50,000",68%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"67,000",58%,"48,000",53%,,"54,000",55%,"37,000",50%
Legal Permanent Resident <5 yrs,"20,000",17%,"14,000",16%,,"12,000",12%,"6,000",8%
Undocumented Immigrant,"29,000",25%,"29,000",31%,,"32,000",33%,"30,000",42%
,,,,,,,,,
COUNTY: Orange,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"426,000",100%,"356,000",100%,,"372,000",100%,"298,000",100%
Gender,,,,,,,,,
Male,"218,000",51%,"184,000",52%,,"189,000",51%,"151,000",51%
Female,"208,000",49%,"172,000",48%,,"184,000",49%,"146,000",49%
Race and Ethnicity,,,,,,,,,
Latino,"288,000",68%,"235,000",66%,,"250,000",67%,"195,000",65%
Asian,"61,000",14%,"54,000",15%,,"55,000",15%,"46,000",16%
African American,"3,000",1%,"3,000",1%,,"3,000",1%,"2,000",1%
White,"70,000",16%,"61,000",17%,,"61,000",16%,"51,000",17%
Other,"4,000",1%,"3,000",1%,,"3,000",1%,"3,000",1%
Age,,,,,,,,,
0-18 years,"65,000",15%,"56,000",16%,,"63,000",17%,"52,000",17%
19-29 years,"110,000",26%,"92,000",26%,,"87,000",23%,"67,000",22%
30-44 years,"165,000",39%,"138,000",39%,,"148,000",40%,"120,000",40%
45-64 years,"85,000",20%,"70,000",20%,,"75,000",20%,"59,000",20%
Income,,,,,,,,,
100% FPL or less,"97,000",23%,"74,000",21%,,"94,000",25%,"74,000",25%
101-138% FPL,"42,000",10%,"29,000",8%,,"33,000",9%,"26,000",9%
139-200% FPL,"70,000",17%,"56,000",16%,,"54,000",15%,"37,000",12%
201-250% FPL,"40,000",9%,"33,000",9%,,"34,000",9%,"24,000",8%
251-400% FPL,"78,000",18%,"68,000",19%,,"65,000",17%,"52,000",17%
401 % FPL or more,"99,000",23%,"96,000",27%,,"92,000",25%,"85,000",29%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"133,000",31%,"115,000",32%,,"107,000",29%,"91,000",30%
18+ Limited English Proficiency,"233,000",55%,"189,000",53%,,"206,000",55%,"158,000",53%
Self Reported Health Status,,,,,,,,,
Excellent,"101,000",24%,"88,000",25%,,"90,000",24%,"75,000",25%
Very Good,"132,000",31%,"112,000",31%,,"115,000",31%,"93,000",31%
Good,"144,000",34%,"119,000",33%,,"124,000",33%,"97,000",33%
Fair,"44,000",10%,"34,000",10%,,"39,000",10%,"30,000",10%
Poor,"5,000",1%,"4,000",1%,,"4,000",1%,"3,000",1%
Employment Status,,,,,,,,,
Not Employed,"174,000",41%,"144,000",40%,,"155,000",42%,"124,000",42%
Employed,"252,000",59%,"213,000",60%,,"217,000",58%,"174,000",58%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"296,000",69%,"234,000",66%,,"246,000",66%,"183,000",61%
Legal Permanent Resident <5 yrs,"23,000",5%,"17,000",5%,,"15,000",4%,"9,000",3%
Undocumented Immigrant,"108,000",25%,"105,000",29%,,"111,000",30%,"106,000",36%
,,,,,,,,,
COUNTY: San Diego,,,,,,,,,
,2014,,,,,2019,,,
"Remaining Uninsured, Age 0-64",BASE,,ENHANCED,,,BASE,,ENHANCED,
All,"330,000",100%,"267,000",100%,,"287,000",100%,"225,000",100%
Gender,,,,,,,,,
Male,"175,000",53%,"142,000",53%,,"148,000",52%,"116,000",51%
Female,"155,000",47%,"125,000",47%,,"139,000",48%,"109,000",49%
Race and Ethnicity,,,,,,,,,
Latino,"204,000",62%,"161,000",60%,,"176,000",61%,"133,000",59%
Asian,"31,000",10%,"27,000",10%,,"29,000",10%,"24,000",11%
African American,"9,000",3%,"7,000",3%,,"8,000",3%,"6,000",3%
White,"79,000",24%,"67,000",25%,,"70,000",24%,"58,000",26%
Other,"6,000",2%,"5,000",2%,,"5,000",2%,"4,000",2%
Age,,,,,,,,,
0-18 years,"56,000",17%,"47,000",18%,,"56,000",20%,"46,000",20%
19-29 years,"78,000",24%,"64,000",24%,,"59,000",21%,"44,000",20%
30-44 years,"101,000",30%,"82,000",31%,,"93,000",32%,"75,000",33%
45-64 years,"95,000",29%,"75,000",28%,,"79,000",27%,"60,000",27%
Income,,,,,,,,,
100% FPL or less,"100,000",30%,"74,000",28%,,"97,000",34%,"74,000",33%
101-138% FPL,"32,000",10%,"22,000",8%,,"25,000",9%,"19,000",9%
139-200% FPL,"54,000",16%,"42,000",16%,,"41,000",14%,"27,000",12%
201-250% FPL,"30,000",9%,"24,000",9%,,"24,000",8%,"17,000",7%
251-400% FPL,"53,000",16%,"46,000",17%,,"41,000",14%,"33,000",15%
401 % FPL or more,"61,000",18%,"60,000",22%,,"58,000",20%,"55,000",24%
Limited English Proficiency (18+),,,,,,,,,
18+ Speaks English Very Well,"119,000",36%,"99,000",37%,,"97,000",34%,"80,000",35%
18+ Limited English Proficiency,"160,000",48%,"124,000",46%,,"137,000",48%,"101,000",45%
Self Reported Health Status,,,,,,,,,
Excellent,"89,000",27%,"75,000",28%,,"79,000",27%,"64,000",28%
Very Good,"104,000",31%,"86,000",32%,,"91,000",32%,"72,000",32%
Good,"100,000",30%,"80,000",30%,,"85,000",29%,"65,000",29%
Fair,"32,000",10%,"23,000",9%,,"28,000",10%,"21,000",9%
Poor,"5,000",2%,"4,000",1%,,"4,000",1%,"3,000",1%
Employment Status,,,,,,,,,
Not Employed,"149,000",45%,"118,000",44%,,"132,000",46%,"102,000",46%
Employed,"181,000",55%,"149,000",56%,,"154,000",54%,"122,000",54%
Immigration Status,,,,,,,,,
Citizen or Legal Permanent Resident >5yrs,"240,000",73%,"185,000",69%,,"201,000",70%,"148,000",66%
